path,name,family,role,sizeX,sizeY,sizeZ,minX,minY,minZ,maxX,maxY,maxZ,renderers,triangles,materials,skinned
"Assets/Synty/PolygonFarm/Prefabs/Plants/SM_Prop_Tomato_01_M.prefab","SM_Prop_Tomato_01_M",Prop,Other,0.09,0.18,0.10,-0.05,-0.17,-0.06,0.04,0.01,0.04,1,76,1,0
"Assets/Synty/PolygonFarm/Prefabs/Plants/SM_Prop_Tomato_01_S.prefab","SM_Prop_Tomato_01_S",Prop,Other,0.05,0.15,0.05,-0.03,-0.14,-0.03,0.02,0.01,0.02,1,76,1,0
"Assets/Synty/PolygonFarm/Prefabs/Plants/SM_Prop_Watermelon_01.prefab","SM_Prop_Watermelon_01",Prop,Other,0.36,0.36,0.51,-0.18,-0.18,-0.26,0.18,0.18,0.26,1,64,1,0
"Assets/Synty/PolygonFarm/Prefabs/Plants/SM_Prop_Watermelon_01_L.prefab","SM_Prop_Watermelon_01_L",Prop,Other,0.36,0.37,0.76,-0.15,-0.01,-0.76,0.21,0.36,0.00,1,129,1,0
"Assets/Synty/PolygonFarm/Prefabs/Plants/SM_Prop_Watermelon_01_M.prefab","SM_Prop_Watermelon_01_M",Prop,Other,0.21,0.24,0.55,-0.09,-0.01,-0.55,0.12,0.23,0.00,1,129,1,0
"Assets/Synty/PolygonFarm/Prefabs/Plants/SM_Prop_Watermelon_01_S.prefab","SM_Prop_Watermelon_01_S",Prop,Other,0.13,0.19,0.42,-0.04,-0.01,-0.42,0.08,0.18,0.00,1,129,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Anvil_01.prefab","SM_Prop_Anvil_01",Prop,Other,1.00,0.59,0.32,-0.50,0.00,-0.16,0.50,0.59,0.16,1,184,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Barrel_01.prefab","SM_Prop_Barrel_01",Prop,Other,0.91,1.16,0.91,-0.45,0.00,-0.45,0.45,1.16,0.45,1,456,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Barrel_02.prefab","SM_Prop_Barrel_02",Prop,Other,0.92,1.16,0.92,-0.46,0.03,-0.46,0.46,1.19,0.46,1,640,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Barrel_Half_01.prefab","SM_Prop_Barrel_Half_01",Prop,Other,0.91,0.57,0.91,-0.45,0.00,-0.45,0.45,0.57,0.45,1,348,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Bed_01.prefab","SM_Prop_Bed_01",Prop,Other,2.08,1.52,2.67,-1.04,0.00,-1.34,1.04,1.52,1.34,1,680,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Beehive_01.prefab","SM_Prop_Beehive_01",Prop,Other,0.78,1.21,0.80,-0.39,0.00,-0.40,0.39,1.21,0.40,1,294,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Beehive_02.prefab","SM_Prop_Beehive_02",Prop,Other,0.77,1.44,0.72,-0.39,0.00,-0.36,0.39,1.44,0.36,1,303,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Beehive_03.prefab","SM_Prop_Beehive_03",Prop,Other,0.78,1.21,0.76,-0.39,0.00,-0.38,0.39,1.21,0.38,1,270,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Beehive_04.prefab","SM_Prop_Beehive_04",Prop,Other,0.79,1.24,0.76,-0.39,0.00,-0.38,0.39,1.24,0.38,1,286,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Beehive_05.prefab","SM_Prop_Beehive_05",Prop,Other,0.77,1.21,0.74,-0.38,0.00,-0.37,0.38,1.21,0.37,1,270,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Beehive_06.prefab","SM_Prop_Beehive_06",Prop,Other,0.78,0.97,0.77,-0.39,0.00,-0.39,0.39,0.97,0.39,1,236,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Bench_01.prefab","SM_Prop_Bench_01",Prop,Other,1.64,0.47,0.47,-0.82,0.00,-0.24,0.82,0.47,0.24,1,150,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Can_01.prefab","SM_Prop_Can_01",Prop,Other,0.11,0.19,0.11,-0.05,0.00,-0.05,0.05,0.19,0.05,1,212,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Can_02.prefab","SM_Prop_Can_02",Prop,Other,0.17,0.11,0.19,-0.10,0.00,-0.10,0.08,0.11,0.09,1,252,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_ChainSaw_01.prefab","SM_Prop_ChainSaw_01",Prop,Other,0.35,0.31,1.09,-0.21,-0.10,-0.32,0.14,0.21,0.77,1,1213,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Chair_01.prefab","SM_Prop_Chair_01",Prop,Other,0.59,1.21,0.53,-0.29,0.00,-0.27,0.29,1.21,0.27,1,256,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Chair_Rocking_01.prefab","SM_Prop_Chair_Rocking_01",Prop,Other,0.74,1.32,0.85,-0.37,-0.01,-0.45,0.37,1.31,0.40,1,496,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Chicken_Coop_01.prefab","SM_Prop_Chicken_Coop_01",Prop,Other,2.23,2.48,3.90,-1.12,-0.19,-1.95,1.12,2.30,1.95,1,1005,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Chicken_Coop_Cage_01.prefab","SM_Prop_Chicken_Coop_Cage_01",Prop,Other,1.68,1.51,3.37,-0.84,0.00,-1.69,0.84,1.51,1.69,2,430,2,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_ClothesLine_01.prefab","SM_Prop_ClothesLine_01",Prop,Other,1.07,2.27,5.49,-0.54,0.00,-2.74,0.54,2.27,2.74,1,1578,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_ClothesLine_02.prefab","SM_Prop_ClothesLine_02",Prop,Other,1.07,2.27,5.49,-0.54,0.00,-2.74,0.54,2.27,2.74,1,1734,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_ClothesLine_03.prefab","SM_Prop_ClothesLine_03",Prop,Other,1.07,2.27,5.49,-0.54,0.00,-2.74,0.54,2.27,2.74,1,280,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Crate_01.prefab","SM_Prop_Crate_01",Prop,Other,0.83,0.87,0.81,-0.41,0.00,-0.41,0.41,0.87,0.41,1,220,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Fancy_01.prefab","SM_Prop_Fence_Fancy_01",Prop,Railing,2.50,1.13,0.05,-2.50,0.05,0.08,0.00,1.19,0.13,1,104,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Fancy_02.prefab","SM_Prop_Fence_Fancy_02",Prop,Railing,2.50,1.12,0.05,-2.50,0.06,0.08,0.00,1.19,0.13,1,48,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Fancy_03.prefab","SM_Prop_Fence_Fancy_03",Prop,Railing,2.50,1.16,0.10,-2.50,0.05,0.03,0.00,1.21,0.13,1,132,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Fancy_Gate_01.prefab","SM_Prop_Fence_Fancy_Gate_01",Prop,Railing,5.00,1.89,0.21,-5.00,-0.34,-0.08,0.00,1.55,0.13,3,692,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Fancy_Gate_02.prefab","SM_Prop_Fence_Fancy_Gate_02",Prop,Railing,2.50,1.66,0.21,-2.50,-0.34,-0.08,0.00,1.33,0.13,2,276,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Fancy_Pole_01.prefab","SM_Prop_Fence_Fancy_Pole_01",Prop,Railing,0.17,1.70,0.17,-0.08,-0.34,-0.08,0.08,1.36,0.08,1,66,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Fancy_Pole_02.prefab","SM_Prop_Fence_Fancy_Pole_02",Prop,Railing,0.17,1.70,0.17,-0.08,-0.34,-0.08,0.08,1.36,0.08,1,28,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Fancy_Pole_03.prefab","SM_Prop_Fence_Fancy_Pole_03",Prop,Railing,0.17,1.66,0.17,-0.08,-0.34,-0.08,0.08,1.33,0.08,1,12,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Fancy_Pole_Spike_01.prefab","SM_Prop_Fence_Fancy_Pole_Spike_01",Prop,Railing,0.17,1.89,0.17,-0.08,-0.34,-0.08,0.08,1.55,0.08,1,92,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Fancy_Pole_Spike_02.prefab","SM_Prop_Fence_Fancy_Pole_Spike_02",Prop,Railing,0.17,1.89,0.17,-0.08,-0.34,-0.08,0.08,1.55,0.08,1,78,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Painted_01.prefab","SM_Prop_Fence_Painted_01",Prop,Railing,2.50,1.08,0.05,-2.50,-0.54,-0.02,0.00,0.54,0.02,1,104,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Painted_02.prefab","SM_Prop_Fence_Painted_02",Prop,Railing,2.50,1.08,0.05,-2.50,-0.54,-0.02,0.00,0.54,0.02,1,104,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Painted_Pole_01.prefab","SM_Prop_Fence_Painted_Pole_01",Prop,Railing,0.17,1.66,0.17,-0.08,-0.34,-0.08,0.08,1.33,0.08,1,60,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Painted_Pole_02.prefab","SM_Prop_Fence_Painted_Pole_02",Prop,Railing,0.17,1.66,0.17,-0.08,-0.34,-0.08,0.08,1.33,0.08,1,60,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wire_01.prefab","SM_Prop_Fence_Wire_01",Prop,Railing,5.00,1.22,0.12,-5.00,0.03,-0.02,0.00,1.24,0.11,1,168,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wire_02.prefab","SM_Prop_Fence_Wire_02",Prop,Railing,5.00,1.22,0.17,-5.00,0.02,-0.04,0.00,1.25,0.13,1,168,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wire_03.prefab","SM_Prop_Fence_Wire_03",Prop,Railing,5.00,0.99,0.02,-5.00,0.18,-0.01,0.00,1.17,0.01,1,120,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wire_04.prefab","SM_Prop_Fence_Wire_04",Prop,Railing,2.55,0.99,0.02,-2.55,0.18,-0.01,0.00,1.17,0.01,1,120,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wire_Gate_01.prefab","SM_Prop_Fence_Wire_Gate_01",Prop,Railing,3.56,1.17,0.08,-3.51,0.08,-0.04,0.05,1.24,0.04,1,528,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wire_Pole_01.prefab","SM_Prop_Fence_Wire_Pole_01",Prop,Railing,0.29,1.70,0.29,-0.15,-0.34,-0.15,0.15,1.36,0.15,1,216,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wood_01.prefab","SM_Prop_Fence_Wood_01",Prop,Railing,2.50,1.08,0.05,-2.50,0.12,-0.02,0.00,1.20,0.02,1,104,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wood_02.prefab","SM_Prop_Fence_Wood_02",Prop,Railing,2.50,1.04,0.05,-2.50,0.16,-0.02,0.00,1.20,0.02,1,76,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wood_03.prefab","SM_Prop_Fence_Wood_03",Prop,Railing,2.50,1.04,0.05,-2.50,0.16,-0.02,0.00,1.20,0.02,1,36,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wood_Gate_01.prefab","SM_Prop_Fence_Wood_Gate_01",Prop,Railing,5.11,1.66,0.17,-5.05,-0.34,-0.08,0.05,1.33,0.08,2,546,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wood_Pole_01.prefab","SM_Prop_Fence_Wood_Pole_01",Prop,Railing,0.17,1.66,0.17,-0.08,-0.34,-0.08,0.08,1.33,0.08,1,60,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wood_Pole_02.prefab","SM_Prop_Fence_Wood_Pole_02",Prop,Railing,0.17,1.66,0.17,-0.08,-0.34,-0.08,0.08,1.33,0.08,1,12,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wood_Pole_Inset_01.prefab","SM_Prop_Fence_Wood_Pole_Inset_01",Prop,Railing,0.18,1.68,0.20,-0.09,-0.34,-0.10,0.09,1.34,0.10,1,116,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wood_Round_01.prefab","SM_Prop_Fence_Wood_Round_01",Prop,Railing,2.60,0.96,0.16,-2.56,0.30,0.04,0.04,1.26,0.20,1,156,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wood_Round_02.prefab","SM_Prop_Fence_Wood_Round_02",Prop,Railing,2.61,0.97,0.21,-2.57,0.12,0.02,0.04,1.08,0.23,1,156,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wood_Round_Inset_01.prefab","SM_Prop_Fence_Wood_Round_Inset_01",Prop,Railing,2.37,0.74,0.18,-2.44,0.37,-0.09,-0.06,1.10,0.09,1,84,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Fence_Wood_Round_Pole_01.prefab","SM_Prop_Fence_Wood_Round_Pole_01",Prop,Railing,0.20,1.62,0.20,-0.10,-0.33,-0.10,0.10,1.29,0.10,1,88,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_GasCan_01.prefab","SM_Prop_GasCan_01",Prop,Other,0.45,0.56,0.15,-0.22,0.00,-0.07,0.22,0.56,0.07,1,342,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Gastank_01.prefab","SM_Prop_Gastank_01",Prop,Other,1.46,2.91,2.53,-0.73,0.00,-1.15,0.73,2.91,1.38,1,596,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_GrainBag_01.prefab","SM_Prop_GrainBag_01",Prop,Other,0.85,0.32,0.57,-0.42,-0.15,-0.29,0.42,0.17,0.29,1,156,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_GrainBag_Open_01.prefab","SM_Prop_GrainBag_Open_01",Prop,Other,0.53,0.47,0.43,-0.27,0.00,-0.22,0.27,0.47,0.22,1,158,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_GrainBag_Open_02.prefab","SM_Prop_GrainBag_Open_02",Prop,Other,0.48,0.46,0.36,-0.24,0.00,-0.18,0.24,0.46,0.18,1,158,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Bale_Round_01.prefab","SM_Prop_Hay_Bale_Round_01",Prop,Other,1.26,1.58,1.22,-0.63,-0.79,-0.61,0.63,0.79,0.61,1,936,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Bale_Round_01_Green.prefab","SM_Prop_Hay_Bale_Round_01_Green",Prop,Other,1.26,1.58,1.22,-0.63,-0.79,-0.61,0.63,0.79,0.61,1,936,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Bale_Round_02.prefab","SM_Prop_Hay_Bale_Round_02",Prop,Other,1.14,1.21,1.15,-0.57,-0.61,-0.57,0.57,0.61,0.57,1,724,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Bale_Round_02_Green.prefab","SM_Prop_Hay_Bale_Round_02_Green",Prop,Other,1.14,1.21,1.15,-0.57,-0.61,-0.57,0.57,0.61,0.57,1,724,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Bale_Round_Plastic_01.prefab","SM_Prop_Hay_Bale_Round_Plastic_01",Prop,Other,1.24,1.18,1.24,-0.62,-0.59,-0.62,0.62,0.59,0.62,1,238,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Bale_Square_01.prefab","SM_Prop_Hay_Bale_Square_01",Prop,Other,1.91,0.95,1.41,-0.95,-0.47,-0.71,0.95,0.47,0.71,1,544,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Bale_Square_01_Green.prefab","SM_Prop_Hay_Bale_Square_01_Green",Prop,Other,1.91,0.95,1.41,-0.95,-0.47,-0.71,0.95,0.47,0.71,1,544,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Bale_Square_02.prefab","SM_Prop_Hay_Bale_Square_02",Prop,Other,1.68,0.77,1.09,-0.82,-0.41,-0.53,0.86,0.36,0.56,1,412,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Bale_Square_02_Green.prefab","SM_Prop_Hay_Bale_Square_02_Green",Prop,Other,1.68,0.77,1.09,-0.82,-0.41,-0.53,0.86,0.36,0.56,1,412,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Bale_Square_03.prefab","SM_Prop_Hay_Bale_Square_03",Prop,Other,1.61,0.72,1.04,-0.81,-0.35,-0.52,0.81,0.37,0.52,1,296,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Bale_Square_03_Green.prefab","SM_Prop_Hay_Bale_Square_03_Green",Prop,Other,1.61,0.72,1.04,-0.81,-0.35,-0.52,0.81,0.37,0.52,1,296,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Bale_Square_Plastic_01.prefab","SM_Prop_Hay_Bale_Square_Plastic_01",Prop,Other,1.63,0.68,1.10,-0.82,-0.34,-0.55,0.82,0.34,0.55,1,214,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Pile_01.prefab","SM_Prop_Hay_Pile_01",Prop,Other,2.47,1.10,2.64,-1.24,0.00,-1.32,1.24,1.10,1.32,1,420,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Pile_01_Green.prefab","SM_Prop_Hay_Pile_01_Green",Prop,Other,2.47,1.10,2.64,-1.24,0.00,-1.32,1.24,1.10,1.32,1,420,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Pile_02.prefab","SM_Prop_Hay_Pile_02",Prop,Other,1.24,0.55,6.01,-0.62,0.00,-3.00,0.62,0.55,3.00,1,451,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Hay_Pile_02_Green.prefab","SM_Prop_Hay_Pile_02_Green",Prop,Other,1.24,0.55,6.01,-0.62,0.00,-3.00,0.62,0.55,3.00,1,451,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Horse_Jump_01.prefab","SM_Prop_Horse_Jump_01",Prop,Other,3.98,1.52,0.78,-1.99,0.00,-0.39,1.99,1.52,0.39,1,268,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Horse_Jump_02.prefab","SM_Prop_Horse_Jump_02",Prop,Other,3.98,1.52,0.78,-1.99,0.00,-0.39,1.99,1.52,0.39,1,292,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Horse_Jump_03.prefab","SM_Prop_Horse_Jump_03",Prop,Other,3.98,1.52,0.78,-1.99,0.00,-0.39,1.99,1.52,0.39,1,316,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_01.prefab","SM_Prop_LetterBox_01",Prop,Other,0.28,1.14,0.80,-0.15,0.00,-0.28,0.13,1.13,0.52,1,268,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_02.prefab","SM_Prop_LetterBox_02",Prop,Other,0.27,1.20,0.73,-0.13,0.00,-0.30,0.13,1.20,0.42,1,268,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_03.prefab","SM_Prop_LetterBox_03",Prop,Other,0.53,1.67,0.70,-0.28,0.00,-0.35,0.24,1.67,0.36,1,657,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_04.prefab","SM_Prop_LetterBox_04",Prop,Other,0.32,1.28,0.81,-0.16,0.00,-0.36,0.16,1.28,0.45,1,260,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_05.prefab","SM_Prop_LetterBox_05",Prop,Other,0.28,1.15,0.53,-0.14,0.00,-0.27,0.14,1.15,0.27,1,212,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_06.prefab","SM_Prop_LetterBox_06",Prop,Other,0.38,1.23,0.38,-0.20,0.00,-0.20,0.18,1.23,0.18,1,180,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_07.prefab","SM_Prop_LetterBox_07",Prop,Other,0.32,1.13,0.62,-0.15,0.00,-0.28,0.17,1.13,0.34,1,322,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_Generic_01.prefab","SM_Prop_LetterBox_Generic_01",Prop,Other,0.27,1.22,0.68,-0.13,0.00,-0.30,0.13,1.22,0.39,2,260,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_Group_01.prefab","SM_Prop_LetterBox_Group_01",Prop,Other,0.85,1.16,0.80,-0.57,0.00,-0.35,0.28,1.16,0.45,1,812,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_Group_02.prefab","SM_Prop_LetterBox_Group_02",Prop,Other,1.76,1.25,0.74,-0.88,0.00,-0.37,0.88,1.25,0.37,1,1390,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_Numbers_01.prefab","SM_Prop_LetterBox_Numbers_01",Prop,Other,0.24,0.13,0.02,-0.12,-0.06,0.00,0.12,0.06,0.02,1,12,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_Numbers_02.prefab","SM_Prop_LetterBox_Numbers_02",Prop,Other,0.14,0.13,0.02,-0.07,-0.06,0.00,0.07,0.06,0.02,1,12,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_Numbers_03.prefab","SM_Prop_LetterBox_Numbers_03",Prop,Other,0.28,0.13,0.02,-0.14,-0.06,0.00,0.14,0.06,0.02,1,12,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_Numbers_04.prefab","SM_Prop_LetterBox_Numbers_04",Prop,Other,0.14,0.13,0.02,-0.07,-0.06,0.00,0.07,0.06,0.02,1,12,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_LetterBox_Signal_Flag_01.prefab","SM_Prop_LetterBox_Signal_Flag_01",Prop,Other,0.04,0.08,0.31,-0.02,-0.03,-0.28,0.02,0.05,0.03,1,60,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_PalletCrate_01.prefab","SM_Prop_PalletCrate_01",Prop,Other,0.76,0.39,0.45,-0.38,0.00,-0.23,0.38,0.39,0.23,1,256,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_PlantBox_Large_01.prefab","SM_Prop_PlantBox_Large_01",Prop,Other,4.20,0.56,7.69,-2.10,-0.06,-3.84,2.10,0.49,3.84,1,252,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_PlasticBin_01.prefab","SM_Prop_PlasticBin_01",Prop,Other,0.63,0.43,0.85,-0.32,0.00,-0.42,0.32,0.43,0.42,1,92,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Pot_01.prefab","SM_Prop_Pot_01",Prop,Other,0.29,0.28,0.28,-0.15,0.00,-0.14,0.15,0.28,0.14,1,120,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Pot_02.prefab","SM_Prop_Pot_02",Prop,Other,0.10,0.13,0.10,-0.05,0.00,-0.05,0.05,0.13,0.05,1,36,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Power_Lines_01.prefab","SM_Prop_Power_Lines_01",Prop,Other,1.98,1.15,14.95,-0.99,4.52,0.16,0.99,5.67,15.11,1,108,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Power_Pole_01.prefab","SM_Prop_Power_Pole_01",Prop,Other,2.22,6.48,0.35,-1.11,-0.74,-0.12,1.11,5.74,0.23,1,268,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Rack_01.prefab","SM_Prop_Rack_01",Prop,Other,0.96,0.82,0.40,-0.48,-0.55,0.00,0.48,0.27,0.40,1,912,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Ranch_Sign_01.prefab","SM_Prop_Ranch_Sign_01",Prop,Other,7.59,4.24,0.49,-3.80,0.00,-0.24,3.80,4.24,0.24,2,1944,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Rubbish_01.prefab","SM_Prop_Rubbish_01",Prop,Other,3.34,1.64,0.56,-1.67,0.00,-0.03,1.67,1.64,0.53,1,48,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Rubbish_02.prefab","SM_Prop_Rubbish_02",Prop,Other,0.46,0.09,1.04,-0.23,0.00,-0.52,0.23,0.09,0.52,1,150,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Rubbish_03.prefab","SM_Prop_Rubbish_03",Prop,Other,0.52,1.21,0.56,-0.26,0.00,-0.28,0.26,1.21,0.28,1,212,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Rubbish_04.prefab","SM_Prop_Rubbish_04",Prop,Other,0.77,1.40,0.12,-0.39,0.00,-0.01,0.39,1.40,0.10,1,100,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Rubbish_05.prefab","SM_Prop_Rubbish_05",Prop,Other,0.50,0.19,0.51,-0.25,-0.03,-0.24,0.25,0.16,0.26,1,140,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Rubbish_06.prefab","SM_Prop_Rubbish_06",Prop,Other,0.68,0.62,0.18,-0.40,-0.01,-0.09,0.27,0.61,0.09,1,112,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Rubbish_07.prefab","SM_Prop_Rubbish_07",Prop,Other,0.17,1.64,0.04,-0.08,0.00,-0.02,0.08,1.64,0.02,1,40,1,0
"Assets/Synty/PolygonFarm/Prefabs/Props/SM_Prop_Rubbish_08.prefab","SM_Prop_Rubbish_08",Prop,Other,1.84,0.65,0.11,-0.93,0.00,-0.06,0.92,0.65,0.04,1,64,1,0
